person	personLabel	university	location	organisation
http://www.wikidata.org/entity/Q152437	Alva Myrdal	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q1065
http://www.wikidata.org/entity/Q159723	Nathan Söderblom	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10705688	http://www.wikidata.org/entity/Q154804
http://www.wikidata.org/entity/Q159723	Nathan Söderblom	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10705688	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q159723	Nathan Söderblom	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10705688	http://www.wikidata.org/entity/Q749243
http://www.wikidata.org/entity/Q162688	Johann Christian Daniel von Schreber	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q529798	http://www.wikidata.org/entity/Q40025
http://www.wikidata.org/entity/Q162688	Johann Christian Daniel von Schreber	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q529798	http://www.wikidata.org/entity/Q1662834
http://www.wikidata.org/entity/Q167112	Bernhard Karlgren	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25415	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q167112	Bernhard Karlgren	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25415	http://www.wikidata.org/entity/Q371522
http://www.wikidata.org/entity/Q170342	Svante Pääbo	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q55044
http://www.wikidata.org/entity/Q170342	Svante Pääbo	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q682926
http://www.wikidata.org/entity/Q174998	Ivar Otto Bendixson	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10612973	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q178823	Carl Linnaeus the Younger	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10493877	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q178916	Vagn Walfrid Ekman	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q185832	Emmanuel Swedenborg	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q54006791	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q186391	Theodor Svedberg	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10712147	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q187258	Anders Jonas Ångström	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10572820	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q187258	Anders Jonas Ångström	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10572820	http://www.wikidata.org/entity/Q752038
http://www.wikidata.org/entity/Q192651	Allvar Gullstrand	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10553938	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q192712	Kai Siegbahn	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q2167	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q192712	Kai Siegbahn	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q2167	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q201347	Torbern Bergman	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q427422	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q201347	Torbern Bergman	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10572724	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q209283	Bengt Edlén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q2916112	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q215979	Johann Beckmann	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q168701	http://www.wikidata.org/entity/Q152838
http://www.wikidata.org/entity/Q217745	Carl Curman	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10669431	http://www.wikidata.org/entity/Q167920
http://www.wikidata.org/entity/Q233026	Arne Tiselius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q262089	Magnus Alkarp	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25286	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q268899	Henning Pleijel	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10715642	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q269226	Ingemar Hedenius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q270927	Åke Wallenquist	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q54764	http://www.wikidata.org/entity/Q126583
http://www.wikidata.org/entity/Q270927	Åke Wallenquist	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q54764	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q270927	Åke Wallenquist	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q54764	http://www.wikidata.org/entity/Q1819090
http://www.wikidata.org/entity/Q292076	Bárbara Dührkop Dührkop	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1715	http://www.wikidata.org/entity/Q40025
http://www.wikidata.org/entity/Q297275	Hans Blix	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25286	http://www.wikidata.org/entity/Q1065
http://www.wikidata.org/entity/Q298308	Östen Bergstrand	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q298317	Östen Undén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25457	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q298317	Östen Undén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25457	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q311476	Per Olov Enquist	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10524743	http://www.wikidata.org/entity/Q174710
http://www.wikidata.org/entity/Q312571	Johan Gadolin	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q38511	http://www.wikidata.org/entity/Q414481
http://www.wikidata.org/entity/Q313872	Helge von Koch	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q313872	Helge von Koch	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q316381	Carl Jonas Love Almqvist	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q3433770	http://www.wikidata.org/entity/Q389458
http://www.wikidata.org/entity/Q316381	Carl Jonas Love Almqvist	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q3433770	http://www.wikidata.org/entity/Q10604257
http://www.wikidata.org/entity/Q318840	Hugo Alfvén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q54006791	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q318840	Hugo Alfvén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q54006791	http://www.wikidata.org/entity/Q4993067
http://www.wikidata.org/entity/Q321521	Fredrik Ferdinand Carlson	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10406788	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q324077	Karl Gustav Jöreskog	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q271082	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q325059	Ruben Liljefors	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q2538632
http://www.wikidata.org/entity/Q325059	Ruben Liljefors	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q10713291
http://www.wikidata.org/entity/Q330545	Erik Edlund	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10479959	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q330793	Einar Billing	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10570835	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q331845	Hjalmar Söderberg	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q10549217
http://www.wikidata.org/entity/Q331845	Hjalmar Söderberg	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q103291893
http://www.wikidata.org/entity/Q333297	Frans Michael Franzén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q47048	http://www.wikidata.org/entity/Q414481
http://www.wikidata.org/entity/Q343420	Lennart Carleson	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q49108
http://www.wikidata.org/entity/Q343420	Lennart Carleson	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q343420	Lennart Carleson	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q345108	Johnny Roosval	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10542836	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q345108	Johnny Roosval	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10542836	http://www.wikidata.org/entity/Q1142142
http://www.wikidata.org/entity/Q345283	Rolf Sievert	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q219564
http://www.wikidata.org/entity/Q346056	Carl August Hagberg	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10570835	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q346056	Carl August Hagberg	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10570835	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q347695	Peter Englund	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q586179	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q349822	Sigfridus Aronus Forsius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q33	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q350198	Olaus Rudbeck	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10718088	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q352908	James Finlay Weir Johnston	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q211870	http://www.wikidata.org/entity/Q458393
http://www.wikidata.org/entity/Q353283	Martin Vahl	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q26793	http://www.wikidata.org/entity/Q186285
http://www.wikidata.org/entity/Q357154	Gösta Mittag-Leffler	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q358257	Oskar Backlund	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q3301385	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q358257	Oskar Backlund	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q3301385	http://www.wikidata.org/entity/Q845924
http://www.wikidata.org/entity/Q360819	Håkan Lans	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q606458	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q364399	Adolf Törneros	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10489097	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q364505	Bertil Lindblad	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25732	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q364505	Bertil Lindblad	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25732	http://www.wikidata.org/entity/Q752038
http://www.wikidata.org/entity/Q365824	Eli Heckscher	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q365824	Eli Heckscher	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q1061504
http://www.wikidata.org/entity/Q365858	Knut Wicksell	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q3438210	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q368077	Jakob Ulvsson	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q203509	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q372210	Lars Gustafsson	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25412	http://www.wikidata.org/entity/Q49213
http://www.wikidata.org/entity/Q376484	Gunnar Helén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q777901	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q377822	Per Teodor Cleve	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q43549106	http://www.wikidata.org/entity/Q185246
