organisation,organisationLabel,location,locationLabel
http://www.wikidata.org/entity/Q154561,University of Jena,http://www.wikidata.org/entity/Q3150,Jena
http://www.wikidata.org/entity/Q1371375,Museum of Ethnography,http://www.wikidata.org/entity/Q1781556,Gärdet
http://www.wikidata.org/entity/Q1371375,Museum of Ethnography,http://www.wikidata.org/entity/Q10719196,Wallingatan
http://www.wikidata.org/entity/Q917874,Åbo Akademi University,http://www.wikidata.org/entity/Q38511,Turku
http://www.wikidata.org/entity/Q486156,University of Oslo,http://www.wikidata.org/entity/Q585,Oslo
http://www.wikidata.org/entity/Q35794,University of Cambridge,http://www.wikidata.org/entity/Q350,Cambridge
http://www.wikidata.org/entity/Q1414861,University of Exeter,http://www.wikidata.org/entity/Q7594039,St Luke's Campus
http://www.wikidata.org/entity/Q1414861,University of Exeter,http://www.wikidata.org/entity/Q7895385,"University of Exeter, Cornwall Campus"
http://www.wikidata.org/entity/Q977781,Malmö University,http://www.wikidata.org/entity/Q5242576,Universitetsholmen
http://www.wikidata.org/entity/Q1163548,Blekinge Institute of Technology,http://www.wikidata.org/entity/Q25789,Karlskrona
http://www.wikidata.org/entity/Q1144565,Umeå University,http://www.wikidata.org/entity/Q25579,Umeå
http://www.wikidata.org/entity/Q977781,Malmö University,http://www.wikidata.org/entity/Q2211,Malmö
http://www.wikidata.org/entity/Q459506,University of Bristol,http://www.wikidata.org/entity/Q23154,Bristol
http://www.wikidata.org/entity/Q836805,Chalmers University of Technology,http://www.wikidata.org/entity/Q25287,Gothenburg
http://www.wikidata.org/entity/Q1414861,University of Exeter,http://www.wikidata.org/entity/Q7622729,Streatham Campus
http://www.wikidata.org/entity/Q127990,Australian National University,http://www.wikidata.org/entity/Q3114,Canberra
http://www.wikidata.org/entity/Q953058,National Library of Sweden,http://www.wikidata.org/entity/Q298489,Östermalm
http://www.wikidata.org/entity/Q127990,Australian National University,http://www.wikidata.org/entity/Q482055,Acton
http://www.wikidata.org/entity/Q3330828,Zoological museum in Lund,http://www.wikidata.org/entity/Q2167,Lund
http://www.wikidata.org/entity/Q956772,Gothenburg Botanical Garden,http://www.wikidata.org/entity/Q10725885,Änggården
http://www.wikidata.org/entity/Q1940803,Mid Sweden University,http://www.wikidata.org/entity/Q26476,Sundsvall
http://www.wikidata.org/entity/Q1480245,National Defence Radio Establishment,http://www.wikidata.org/entity/Q926728,Bromma
http://www.wikidata.org/entity/Q1940803,Mid Sweden University,http://www.wikidata.org/entity/Q26515,Östersund
http://www.wikidata.org/entity/Q47011663,Q47011663,http://www.wikidata.org/entity/Q32253035,Huddinge
http://www.wikidata.org/entity/Q953058,National Library of Sweden,http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q1481050,London Business School,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q1751928,Linnaeus University,http://www.wikidata.org/entity/Q26345,Kalmar
http://www.wikidata.org/entity/Q633078,Malmö Konsthall,http://www.wikidata.org/entity/Q2211,Malmö
http://www.wikidata.org/entity/Q7581760,Spyken,http://www.wikidata.org/entity/Q2167,Lund
http://www.wikidata.org/entity/Q850730,University of Groningen,http://www.wikidata.org/entity/Q749,Groningen
http://www.wikidata.org/entity/Q1751928,Linnaeus University,http://www.wikidata.org/entity/Q26152,Växjö
http://www.wikidata.org/entity/Q375606,"Birkbeck, University of London",http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q3330592,Lund University Historical Museum,http://www.wikidata.org/entity/Q2167,Lund
http://www.wikidata.org/entity/Q782600,Linköping University,http://www.wikidata.org/entity/Q25413,Linköping
http://www.wikidata.org/entity/Q2496060,Jönköping University,http://www.wikidata.org/entity/Q25415,Jönköping
http://www.wikidata.org/entity/Q430594,Uppsala University Hospital,http://www.wikidata.org/entity/Q25286,Uppsala
http://www.wikidata.org/entity/Q725108,Open-air museum Skansen,http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q10492852,Museum of Evolution of Uppsala University,http://www.wikidata.org/entity/Q25286,Uppsala
http://www.wikidata.org/entity/Q1187271,Hong Kong Polytechnic University,http://www.wikidata.org/entity/Q157669,Yau Tsim Mong District
http://www.wikidata.org/entity/Q152087,Humboldt University of Berlin,http://www.wikidata.org/entity/Q64,Berlin
http://www.wikidata.org/entity/Q10658535,National Board of Forensic Medicine,http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q664846,National Cancer Institute,http://www.wikidata.org/entity/Q390551,National Institutes of Health
http://www.wikidata.org/entity/Q1341845,European Bioinformatics Institute,http://www.wikidata.org/entity/Q7981199,Wellcome Genome Campus
http://www.wikidata.org/entity/Q245247,King's College London,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q1734280,Karolinska University Hospital,http://www.wikidata.org/entity/Q129153,Haga
http://www.wikidata.org/entity/Q1879124,Medical Products Agency,http://www.wikidata.org/entity/Q25286,Uppsala
http://www.wikidata.org/entity/Q3038944,"University College of Film, Radio, Television and Theatre",http://www.wikidata.org/entity/Q1781556,Gärdet
http://www.wikidata.org/entity/Q119684,Malmö City Library,http://www.wikidata.org/entity/Q1192085,Malmö Centrum
http://www.wikidata.org/entity/Q152087,Humboldt University of Berlin,http://www.wikidata.org/entity/Q677514,Dorotheenstadt
http://www.wikidata.org/entity/Q1187271,Hong Kong Polytechnic University,http://www.wikidata.org/entity/Q239143,Kowloon
http://www.wikidata.org/entity/Q1734280,Karolinska University Hospital,http://www.wikidata.org/entity/Q4117115,Flemingsberg
http://www.wikidata.org/entity/Q170027,University of London,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q1187271,Hong Kong Polytechnic University,http://www.wikidata.org/entity/Q3043091,Hung Hom
http://www.wikidata.org/entity/Q7437625,Scottish Association for Marine Science,http://www.wikidata.org/entity/Q935702,Oban
http://www.wikidata.org/entity/Q7437625,Scottish Association for Marine Science,http://www.wikidata.org/entity/Q391948,Millport
http://www.wikidata.org/entity/Q3151942,Lille institute for electronics micro-electronics and nanotechnologies,http://www.wikidata.org/entity/Q2974822,Cité scientifique
