organisation	organisationLabel	location
http://www.wikidata.org/entity/Q1751928	Linnaeus University	http://www.wikidata.org/entity/Q26152
http://www.wikidata.org/entity/Q1751928	Linnaeus University	http://www.wikidata.org/entity/Q26345
http://www.wikidata.org/entity/Q4577772	Swedish Enforcement Authority	http://www.wikidata.org/entity/Q10683761
http://www.wikidata.org/entity/Q502842	Halmstad University College	http://www.wikidata.org/entity/Q26521
http://www.wikidata.org/entity/Q1734280	Karolinska University Hospital	http://www.wikidata.org/entity/Q129153
http://www.wikidata.org/entity/Q1734280	Karolinska University Hospital	http://www.wikidata.org/entity/Q4117115
http://www.wikidata.org/entity/Q502824	Kristianstad University College	http://www.wikidata.org/entity/Q26937
http://www.wikidata.org/entity/Q631844	Swedish National Heritage Board	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q10444909	Centralsjukhuset Kristianstad	http://www.wikidata.org/entity/Q26937
http://www.wikidata.org/entity/Q812573	Baylor University	http://www.wikidata.org/entity/Q128244
http://www.wikidata.org/entity/Q1187271	Hong Kong Polytechnic University	http://www.wikidata.org/entity/Q157669
http://www.wikidata.org/entity/Q1187271	Hong Kong Polytechnic University	http://www.wikidata.org/entity/Q239143
http://www.wikidata.org/entity/Q1187271	Hong Kong Polytechnic University	http://www.wikidata.org/entity/Q3043091
http://www.wikidata.org/entity/Q270532	University of Aberdeen	http://www.wikidata.org/entity/Q36405
http://www.wikidata.org/entity/Q151510	Heidelberg University	http://www.wikidata.org/entity/Q2966
http://www.wikidata.org/entity/Q2496060	Jönköping University	http://www.wikidata.org/entity/Q25415
http://www.wikidata.org/entity/Q1858061	Karlstad University	http://www.wikidata.org/entity/Q25457
http://www.wikidata.org/entity/Q148554	National Museum of Natural History	http://www.wikidata.org/entity/Q465811
http://www.wikidata.org/entity/Q10686267	The Swedish Seed Association	http://www.wikidata.org/entity/Q202408
http://www.wikidata.org/entity/Q3110979	Södertörn University	http://www.wikidata.org/entity/Q4117115
http://www.wikidata.org/entity/Q3110979	Södertörn University	http://www.wikidata.org/entity/Q32253035
http://www.wikidata.org/entity/Q56247128	Cincinnati Museum of Natural History and Science	http://www.wikidata.org/entity/Q863050
http://www.wikidata.org/entity/Q842858	Nationalmuseum	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q18589787	Lyceum för flickor	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q5587845	Gothenburg University Library	http://www.wikidata.org/entity/Q25287
http://www.wikidata.org/entity/Q1940803	Mid Sweden University	http://www.wikidata.org/entity/Q26476
http://www.wikidata.org/entity/Q1940803	Mid Sweden University	http://www.wikidata.org/entity/Q26515
http://www.wikidata.org/entity/Q2002420	Örebro University	http://www.wikidata.org/entity/Q25732
http://www.wikidata.org/entity/Q4356777	Swedish Institute of Space Physics	http://www.wikidata.org/entity/Q83232
http://www.wikidata.org/entity/Q842858	Nationalmuseum	http://www.wikidata.org/entity/Q1026676
http://www.wikidata.org/entity/Q950917	Nordic Institute for Theoretical Physics	http://www.wikidata.org/entity/Q1803674
http://www.wikidata.org/entity/Q950917	Nordic Institute for Theoretical Physics	http://www.wikidata.org/entity/Q4348917
http://www.wikidata.org/entity/Q3182302	Gotland Museum	http://www.wikidata.org/entity/Q54757
http://www.wikidata.org/entity/Q1480245	National Defence Radio Establishment	http://www.wikidata.org/entity/Q926728
http://www.wikidata.org/entity/Q127990	Australian National University	http://www.wikidata.org/entity/Q482055
http://www.wikidata.org/entity/Q1144673	Royal Academy of Music	http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q956772	Gothenburg Botanical Garden	http://www.wikidata.org/entity/Q10725885
http://www.wikidata.org/entity/Q127990	Australian National University	http://www.wikidata.org/entity/Q3114
http://www.wikidata.org/entity/Q7401336	Saint George's Hospital	http://www.wikidata.org/entity/Q2523431
http://www.wikidata.org/entity/Q2445509	Swedish Defence Research Agency	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q6971056	National Board of Health and Welfare	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q174570	London School of Economics and Political Science	http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q99937
http://www.wikidata.org/entity/Q201492	McGill University	http://www.wikidata.org/entity/Q340
http://www.wikidata.org/entity/Q201492	McGill University	http://www.wikidata.org/entity/Q176
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q1486
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q6662
http://www.wikidata.org/entity/Q131262	University of Bologna	http://www.wikidata.org/entity/Q13142
