location	locationLabel	countryLabel
http://www.wikidata.org/entity/Q3130	Sydney	Australia
http://www.wikidata.org/entity/Q99937	Cesenatico	Italy
http://www.wikidata.org/entity/Q52981	Faenza	Italy
http://www.wikidata.org/entity/Q36433	Porto	Portugal
http://www.wikidata.org/entity/Q4115712	Kaunas	Lithuania
http://www.wikidata.org/entity/Q172	Toronto	Canada
http://www.wikidata.org/entity/Q10673294	Solna	Sweden
http://www.wikidata.org/entity/Q83232	Kiruna	Sweden
http://www.wikidata.org/entity/Q1026676	Norrmalm	Sweden
http://www.wikidata.org/entity/Q54757	Visby	Sweden
http://www.wikidata.org/entity/Q199712	Çanakkale	Turkey
http://www.wikidata.org/entity/Q871265	East Lansing	United States of America
http://www.wikidata.org/entity/Q5502687	Frenchay	United Kingdom
http://www.wikidata.org/entity/Q26509	Falun	Sweden
http://www.wikidata.org/entity/Q42448	Sheffield	United Kingdom
http://www.wikidata.org/entity/Q23436	Edinburgh	United Kingdom
http://www.wikidata.org/entity/Q10593587	Mörby	Sweden
http://www.wikidata.org/entity/Q43382	Plymouth	United Kingdom
http://www.wikidata.org/entity/Q831527	Djurgården	Sweden
http://www.wikidata.org/entity/Q25748	Gävle	Sweden
http://www.wikidata.org/entity/Q47554	Toruń	Poland
http://www.wikidata.org/entity/Q23124	West Midlands	United Kingdom
http://www.wikidata.org/entity/Q2256	Birmingham	United Kingdom
http://www.wikidata.org/entity/Q3047556	Edgbaston	United Kingdom
http://www.wikidata.org/entity/Q677514	Dorotheenstadt	German Reich
http://www.wikidata.org/entity/Q64	Berlin	Germany
http://www.wikidata.org/entity/Q390551	National Institutes of Health	United States of America
http://www.wikidata.org/entity/Q7895385	University of Exeter, Cornwall Campus	United Kingdom
http://www.wikidata.org/entity/Q7622729	Streatham Campus	United Kingdom
http://www.wikidata.org/entity/Q7594039	St Luke's Campus	United Kingdom
http://www.wikidata.org/entity/Q986020	Longwood Medical and Academic Area	United States of America
http://www.wikidata.org/entity/Q22502	Taiwan	Taiwan
http://www.wikidata.org/entity/Q1867	Taipei	Taiwan
http://www.wikidata.org/entity/Q7981199	Wellcome Genome Campus	United Kingdom
http://www.wikidata.org/entity/Q239143	Kowloon	People's Republic of China
http://www.wikidata.org/entity/Q50408	Seodaemun District	South Korea
http://www.wikidata.org/entity/Q1449	Genoa	Italy
http://www.wikidata.org/entity/Q3043091	Hung Hom	People's Republic of China
http://www.wikidata.org/entity/Q157669	Yau Tsim Mong District	People's Republic of China
http://www.wikidata.org/entity/Q86114776	Hammersmith Campus, Imperial College London	United Kingdom
http://www.wikidata.org/entity/Q86113860	White City Campus, Imperial College London	United Kingdom
http://www.wikidata.org/entity/Q128244	Waco	United States of America
http://www.wikidata.org/entity/Q7517190	Silwood Park	United Kingdom
http://www.wikidata.org/entity/Q54758	Katrineholm	Sweden
http://www.wikidata.org/entity/Q86088281	South Kensington Campus, Imperial College London	United Kingdom
http://www.wikidata.org/entity/Q3892155	Kontinkangas	Finland
http://www.wikidata.org/entity/Q1002144	Southport	Australia
http://www.wikidata.org/entity/Q2303437	Stadsdeel Noord	Netherlands
http://www.wikidata.org/entity/Q100	Boston	United States of America
http://www.wikidata.org/entity/Q8273407	Macquarie Park	Australia
http://www.wikidata.org/entity/Q174	São Paulo	Brazil
http://www.wikidata.org/entity/Q2741998	Etu-Töölö	Finland
http://www.wikidata.org/entity/Q1533	Caracas	Venezuela
http://www.wikidata.org/entity/Q1055	Hamburg	Germany
http://www.wikidata.org/entity/Q41262	Nottingham	United Kingdom
http://www.wikidata.org/entity/Q1085	Prague	Czech Republic
http://www.wikidata.org/entity/Q406	Istanbul	Turkey
http://www.wikidata.org/entity/Q6225	Coventry	United Kingdom
http://www.wikidata.org/entity/Q3552816	Uxbridge	United Kingdom
http://www.wikidata.org/entity/Q755153	Adelphi	United States of America
http://www.wikidata.org/entity/Q259230	Martinsried	Germany
http://www.wikidata.org/entity/Q1023563	Nõmme	Estonia
http://www.wikidata.org/entity/Q367402	Indre By	Denmark
http://www.wikidata.org/entity/Q12061437	Magill	Australia
http://www.wikidata.org/entity/Q327348	Mount Gambier	Australia
http://www.wikidata.org/entity/Q5112	Adelaide	Australia
http://www.wikidata.org/entity/Q3640	Ankara	Turkey
http://www.wikidata.org/entity/Q6794461	Mawson Lakes	Australia
http://www.wikidata.org/entity/Q24190244	Whyalla Norrie	Australia
http://www.wikidata.org/entity/Q4478	Punjab	Pakistan
http://www.wikidata.org/entity/Q241021	Montrouge	France
http://www.wikidata.org/entity/Q172455	Boulogne-Billancourt	France
http://www.wikidata.org/entity/Q90	Paris	France
http://www.wikidata.org/entity/Q1425428	Newcastle upon Tyne	United Kingdom
http://www.wikidata.org/entity/Q537323	Loughborough	United Kingdom
http://www.wikidata.org/entity/Q64063085	Q64063085	Netherlands
http://www.wikidata.org/entity/Q334	Singapore	Singapore
http://www.wikidata.org/entity/Q56433543	Thebarton campus	Australia
http://www.wikidata.org/entity/Q56433476	Roseworthy campus	Australia
http://www.wikidata.org/entity/Q56433431	North Terrace campus	Australia
http://www.wikidata.org/entity/Q56433517	Waite campus	Australia
http://www.wikidata.org/entity/Q580	Łódź	Poland
http://www.wikidata.org/entity/Q1888208	Blasieholmen	Sweden
http://www.wikidata.org/entity/Q7593808	St John's	United Kingdom
http://www.wikidata.org/entity/Q123709	Dundee	United Kingdom
http://www.wikidata.org/entity/Q204234	Milton Keynes	United Kingdom
http://www.wikidata.org/entity/Q1646181	Worcester	United Kingdom
http://www.wikidata.org/entity/Q13729283	Huygensgebouw, Nijmegen	Netherlands
http://www.wikidata.org/entity/Q67575442	Worcestershire	United Kingdom
http://www.wikidata.org/entity/Q54341	Borlänge	Sweden
http://www.wikidata.org/entity/Q83065	Leicester	United Kingdom
http://www.wikidata.org/entity/Q13375	Pisa	Italy
http://www.wikidata.org/entity/Q94385	Stockholm urban area	Sweden
http://www.wikidata.org/entity/Q1192085	Malmö Centrum	Sweden
http://www.wikidata.org/entity/Q42462	York	United Kingdom
http://www.wikidata.org/entity/Q31487	Kraków	Poland
http://www.wikidata.org/entity/Q3240427	Härnösand	Sweden
http://www.wikidata.org/entity/Q579854	Gamla stan	Sweden
http://www.wikidata.org/entity/Q54356	Nyköping	Sweden
http://www.wikidata.org/entity/Q126393	Palais Erzherzog Albrecht	Austria
http://www.wikidata.org/entity/Q182872	Fontainebleau	France
http://www.wikidata.org/entity/Q234735	Meudon	France
http://www.wikidata.org/entity/Q210985	Chelmsford	United Kingdom
http://www.wikidata.org/entity/Q117382	Sora	Italy
http://www.wikidata.org/entity/Q128226	Terracina	Italy
