http://www.wikidata.org/entity/Q557597	University of Dar es Salaam
http://www.wikidata.org/entity/Q103291893	Q103291893
http://www.wikidata.org/entity/Q49108	Massachusetts Institute of Technology
http://www.wikidata.org/entity/Q156737	University of Kiel
http://www.wikidata.org/entity/Q632004	Radboud University Nijmegen
http://www.wikidata.org/entity/Q782600	Linköping University
http://www.wikidata.org/entity/Q1291884	Oslo National Academy of the Arts
http://www.wikidata.org/entity/Q188326	H&M
http://www.wikidata.org/entity/Q191583	Royal Swedish Academy of Sciences
http://www.wikidata.org/entity/Q601956	Aalborg University
http://www.wikidata.org/entity/Q31930745	Q31930745
http://www.wikidata.org/entity/Q2822454	Royal Swedish Academy of Agriculture and Forestry
http://www.wikidata.org/entity/Q272930	Parliament of Sweden
http://www.wikidata.org/entity/Q659200	Tetra Pak
http://www.wikidata.org/entity/Q503419	University of Arizona
http://www.wikidata.org/entity/Q6554447	Linköping University Hospital
http://www.wikidata.org/entity/Q782246	Kuopion Lyseon lukio
http://www.wikidata.org/entity/Q1504847	Svenska Dagbladet
http://www.wikidata.org/entity/Q4201561	Institute of Linguistic Studies
http://www.wikidata.org/entity/Q4356777	Swedish Institute of Space Physics
http://www.wikidata.org/entity/Q215363	Sveriges Television
http://www.wikidata.org/entity/Q842858	Nationalmuseum
http://www.wikidata.org/entity/Q10549247	Q10549247
http://www.wikidata.org/entity/Q10685090	Q10685090
http://www.wikidata.org/entity/Q4114364	College of War
http://www.wikidata.org/entity/Q5587845	Gothenburg University Library
http://www.wikidata.org/entity/Q1543058	Sveriges Radio
http://www.wikidata.org/entity/Q2002420	Örebro University
http://www.wikidata.org/entity/Q10719909	Whitlockska samskolan
http://www.wikidata.org/entity/Q10726245	Åhlinska skolan
http://www.wikidata.org/entity/Q10728379	Östra Real
http://www.wikidata.org/entity/Q5177200	Country Association for Women's Suffrage
http://www.wikidata.org/entity/Q314536	Norwegian University of Science and Technology
http://www.wikidata.org/entity/Q10697709	Tidevarvet
http://www.wikidata.org/entity/Q3182302	Gotland Museum
http://www.wikidata.org/entity/Q230492	University of Michigan
http://www.wikidata.org/entity/Q631844	Swedish National Heritage Board
http://www.wikidata.org/entity/Q819312	Bergakademie Berlin
http://www.wikidata.org/entity/Q10403732	Ahlström School
http://www.wikidata.org/entity/Q10719198	Wallinska skolan
http://www.wikidata.org/entity/Q4083975	Collegium of Mining
http://www.wikidata.org/entity/Q372608	University of Basel
http://www.wikidata.org/entity/Q3110979	Södertörn University
http://www.wikidata.org/entity/Q27923720	Imperial Moscow University
http://www.wikidata.org/entity/Q58351705	Mining College
http://www.wikidata.org/entity/Q18333240	National Council of Swedish Women
http://www.wikidata.org/entity/Q18589787	Lyceum för flickor
http://www.wikidata.org/entity/Q49114	Brown University
http://www.wikidata.org/entity/Q99231392	Q99231392
http://www.wikidata.org/entity/Q493712	deCODE genetics
http://www.wikidata.org/entity/Q962986	Norwegian Polar Institute
http://www.wikidata.org/entity/Q1133630	Lawrence Berkeley National Laboratory
http://www.wikidata.org/entity/Q180514	Victoria University
http://www.wikidata.org/entity/Q1583495	Instituto de Astrofísica de Canarias
http://www.wikidata.org/entity/Q131262	University of Bologna
http://www.wikidata.org/entity/Q192775	University of Glasgow
http://www.wikidata.org/entity/Q189022	Imperial College London
http://www.wikidata.org/entity/Q430594	Uppsala University Hospital
http://www.wikidata.org/entity/Q450139	University Hospital Zurich
http://www.wikidata.org/entity/Q877925	Queen's University Belfast
http://www.wikidata.org/entity/Q1420500	Swansea University
http://www.wikidata.org/entity/Q1734280	Karolinska University Hospital
http://www.wikidata.org/entity/Q1420239	Temple University
http://www.wikidata.org/entity/Q112513	SOLEIL
http://www.wikidata.org/entity/Q222738	National Autonomous University of Mexico
http://www.wikidata.org/entity/Q880582	Taylor & Francis
http://www.wikidata.org/entity/Q1035745	Cardiff University
http://www.wikidata.org/entity/Q1201513	University of Otago
http://www.wikidata.org/entity/Q192334	University of North Carolina at Chapel Hill
http://www.wikidata.org/entity/Q193196	University College London
http://www.wikidata.org/entity/Q217741	Purdue University
http://www.wikidata.org/entity/Q1111640	Colorado State University
http://www.wikidata.org/entity/Q1258413	University of Antioquia
http://www.wikidata.org/entity/Q1546159	Mälardalen University College
http://www.wikidata.org/entity/Q1856153	National Renewable Energy Laboratory
http://www.wikidata.org/entity/Q695267	European Molecular Biology Laboratory
http://www.wikidata.org/entity/Q950917	Nordic Institute for Theoretical Physics
http://www.wikidata.org/entity/Q1728622	University of California, Merced
http://www.wikidata.org/entity/Q10677719	State Forest Research Institute (Sweden)
http://www.wikidata.org/entity/Q131252	University of Chicago
http://www.wikidata.org/entity/Q30262648	Institute of Animal Sciences
http://www.wikidata.org/entity/Q213439	University of Virginia
http://www.wikidata.org/entity/Q238101	University of Minnesota
http://www.wikidata.org/entity/Q209610	Max Planck Institute for Astronomy
http://www.wikidata.org/entity/Q1144565	Umeå University
http://www.wikidata.org/entity/Q5059479	Center for Advanced Study in the Behavioral Sciences
http://www.wikidata.org/entity/Q7566809	South China Agricultural University
http://www.wikidata.org/entity/Q502842	Halmstad University College
http://www.wikidata.org/entity/Q503473	University of Geneva
http://www.wikidata.org/entity/Q1043963	Carnegie Institution for Science
http://www.wikidata.org/entity/Q1439312	Danderyd Hospital
http://www.wikidata.org/entity/Q10544771	Swedish Chemicals Agency
http://www.wikidata.org/entity/Q10670359	Forest institute
http://www.wikidata.org/entity/Q2725999	University of Texas Southwestern Medical Center
http://www.wikidata.org/entity/Q16955	Tsinghua University
http://www.wikidata.org/entity/Q30282386	Norwegian Institute for Nature Research
http://www.wikidata.org/entity/Q65379	Virginia Tech
http://www.wikidata.org/entity/Q42944	CERN
http://www.wikidata.org/entity/Q161982	Johannes Gutenberg University Mainz
http://www.wikidata.org/entity/Q270532	University of Aberdeen
http://www.wikidata.org/entity/Q776570	Ministry for Foreign Affairs of Sweden
http://www.wikidata.org/entity/Q223429	University of Birmingham
http://www.wikidata.org/entity/Q578326	University of Jyväskylä
http://www.wikidata.org/entity/Q1940803	Mid Sweden University
http://www.wikidata.org/entity/Q2445509	Swedish Defence Research Agency
http://www.wikidata.org/entity/Q3888695	Brunnsviks folkhögskola
http://www.wikidata.org/entity/Q1488843	Swedish Institute at Athens
http://www.wikidata.org/entity/Q1753461	Swedish Confederation of Professional Employees
http://www.wikidata.org/entity/Q2166335	University of Southern Denmark
http://www.wikidata.org/entity/Q10682383	Studieförbundet Näringsliv och samhälle
http://www.wikidata.org/entity/Q3298337	Augustana College
http://www.wikidata.org/entity/Q946028	Courant Institute of Mathematical Sciences
http://www.wikidata.org/entity/Q6971056	National Board of Health and Welfare
http://www.wikidata.org/entity/Q10536077	Institute for Futures Studies
http://www.wikidata.org/entity/Q838330	University of Wisconsin–Madison
http://www.wikidata.org/entity/Q4567827	Stockholms Dagblad
http://www.wikidata.org/entity/Q129421	University of California, Davis
http://www.wikidata.org/entity/Q1472663	University of Alabama at Birmingham
http://www.wikidata.org/entity/Q10666168	Serafimerlasarettet
http://www.wikidata.org/entity/Q1411222	George Mason University
http://www.wikidata.org/entity/Q49212	Texas A&M University
http://www.wikidata.org/entity/Q6704159	Lundsberg boarding school
http://www.wikidata.org/entity/Q16996657	Illinois Museum of Natural History
http://www.wikidata.org/entity/Q49210	New York University
http://www.wikidata.org/entity/Q41506	Stanford University
http://www.wikidata.org/entity/Q97981018	Q97981018
http://www.wikidata.org/entity/Q56247128	Cincinnati Museum of Natural History and Science
http://www.wikidata.org/entity/Q10549201	Q10549201
http://www.wikidata.org/entity/Q10549221	Q10549221
http://www.wikidata.org/entity/Q1129909	Lund University Library
http://www.wikidata.org/entity/Q7401336	Saint George's Hospital
http://www.wikidata.org/entity/Q18454967	Q18454967
http://www.wikidata.org/entity/Q3279424	Växjö University
http://www.wikidata.org/entity/Q564652	Sveriges Riksbank
http://www.wikidata.org/entity/Q2901382	Uppsala University Library
http://www.wikidata.org/entity/Q1163548	Blekinge Institute of Technology
http://www.wikidata.org/entity/Q379406	Dictionary of Swedish National Biography
http://www.wikidata.org/entity/Q977781	Malmö University
http://www.wikidata.org/entity/Q1312158	Swedish News Agency
http://www.wikidata.org/entity/Q165528	University of Greifswald
http://www.wikidata.org/entity/Q9361026	Ramlösa hälsobrunn
http://www.wikidata.org/entity/Q13371	Harvard University
http://www.wikidata.org/entity/Q11942	ETH Zürich
http://www.wikidata.org/entity/Q174570	London School of Economics and Political Science
http://www.wikidata.org/entity/Q10576435	Campus Manilla
http://www.wikidata.org/entity/Q1935308	Svenska Akademiens Ordbok
http://www.wikidata.org/entity/Q333886	Georgetown University
http://www.wikidata.org/entity/Q10503148	The county council house of Kungsholmen
http://www.wikidata.org/entity/Q44085930	Q44085930
http://www.wikidata.org/entity/Q214341	University of Amsterdam
http://www.wikidata.org/entity/Q28948579	Föreningen för kvinnans politiska rösträtt i Stockholm
http://www.wikidata.org/entity/Q1464114	University of Skövde
http://www.wikidata.org/entity/Q731938	AstraZeneca
http://www.wikidata.org/entity/Q606140	University of Waikato
http://www.wikidata.org/entity/Q1711558	University of Plymouth
http://www.wikidata.org/entity/Q11977406	Q11977406
http://www.wikidata.org/entity/Q3290496	Sahlgrenska University Hospital
http://www.wikidata.org/entity/Q202660	Collège de France
http://www.wikidata.org/entity/Q258464	Trinity College Dublin
http://www.wikidata.org/entity/Q1574578	Qatar University
http://www.wikidata.org/entity/Q1782926	Konstfack
http://www.wikidata.org/entity/Q10567910	Swedish Literature Bank
http://www.wikidata.org/entity/Q8392583	Dorotea Church
http://www.wikidata.org/entity/Q3355352	Royal Institute of Art
http://www.wikidata.org/entity/Q6006478	Imperial College Faculty of Medicine
http://www.wikidata.org/entity/Q209842	University of Paris
http://www.wikidata.org/entity/Q1769401	Norwegian School of Sport Sciences
http://www.wikidata.org/entity/Q6389637	Kennedy Krieger Institute
http://www.wikidata.org/entity/Q7435613	Scotland's Rural College
http://www.wikidata.org/entity/Q34433	University of Oxford
http://www.wikidata.org/entity/Q2333729	Q2333729
